일시,광진구,동대문구,성동구,중랑구
20191129,5.492,3.25,4.314,2.296
20191130,4.884,2.766,3.466,2.082
20191201,1.284,0.702,0.794,0.584
20191202,4.076,2.604,3.278,1.83
20191203,4.172,2.51,3.264,1.774
20191204,4.962,2.854,3.668,1.964
20191205,3.662,2.202,2.92,1.458
20191206,3.38,1.972,2.698,1.306
20191207,2.814,1.796,2.06,1.222
20191208,3.012,1.67,1.924,1.208
20191209,4.18,2.794,3.266,1.688
20191210,4.254,2.7,3.43,1.75
20191211,4.222,2.684,3.422,1.774
20191212,4.024,2.664,3.456,1.776
20191213,3.982,2.542,3.482,1.72
20191214,3.35,2.17,2.542,1.492
20191215,4.044,2.17,2.642,1.514
20191216,4.85,3.238,4.132,2.046
20191217,3.256,1.966,2.408,1.304
20191218,4.364,2.696,3.514,1.894
20191219,4.16,2.634,3.404,1.692
20191220,3.944,2.51,3.274,1.728
20191221,2.654,1.528,1.792,1.16
20191222,3.184,1.888,2.236,1.37
20191223,3.486,2.086,2.91,1.35
20191224,3.836,2.512,3.392,1.734
20191225,3.008,1.66,2.052,1.27
20191226,2.94,1.92,2.366,1.258
20191227,3.378,2.136,2.678,1.466
20191228,3.226,1.958,2.168,1.522
20191229,2.568,1.498,1.63,1.104
20191230,2.734,1.708,2.312,1.15
20191231,2.162,1.446,1.91,1.006
20200101,1.796,1.244,1.432,1.008
20200102,3.252,2.07,2.754,1.422
20200103,3.548,2.278,3.016,1.634
20200104,3.268,2.024,2.166,1.392
20200105,3.026,1.692,1.934,1.36
20200106,1.934,1.264,1.46,0.766
20200107,0.232,0.144,0.222,0.104
20200108,2.43,1.568,2.216,1.096
20200109,3.382,2.068,2.718,1.506
20200110,3.584,2.108,2.862,1.438
20200111,2.83,1.758,1.964,1.322
20200112,2.48,1.48,1.732,1.148
20200113,3.096,1.96,2.492,1.274
20200114,3.336,2.076,2.824,1.34
20200115,3.438,2.066,2.714,1.332
20200116,3.444,2.076,2.896,1.282
20200117,3.496,2.068,2.87,1.372
20200118,3.044,1.784,2.292,1.35
20200119,2.184,1.3,1.654,0.944
20200120,3.156,2.142,2.852,1.394
20200121,3.42,2.288,2.996,1.62
20200122,3.78,2.424,3.074,1.626
20200123,3.998,2.424,3.172,1.8
20200124,2.388,1.392,1.864,1.288
20200125,1.936,1.168,1.362,0.954
20200126,2.83,1.442,2.202,1.22
20200127,1.984,1.24,1.42,1.016
20200128,3.61,2.424,3.022,1.678
20200129,4.224,2.752,3.474,1.936
20200130,4.364,2.758,3.672,2.064
20200131,4.118,2.576,3.468,1.824
20200201,3.236,2.158,2.398,1.574
20200202,2.868,1.794,1.994,1.148
20200203,3.4,2.112,2.962,1.484
20200204,2.76,1.772,2.416,1.066
20200205,2.652,1.548,2.12,0.972
20200206,2.838,1.734,2.284,1.012
20200207,3.128,2.094,2.622,1.362
20200208,2.704,1.858,2.048,1.252
20200209,2.606,1.64,1.892,1.078
20200210,3.906,2.54,3.406,1.568
20200211,4.614,3.094,4.108,1.982
20200212,1.238,0.752,1.204,0.576
20200213,3.71,2.69,3.394,1.764
20200214,4.814,3.004,3.986,2.126
20200215,3.718,2.248,2.902,1.738
20200216,0.948,0.538,0.612,0.468
20200217,1.54,0.996,1.388,0.746
20200218,2.106,1.452,2.12,0.968
20200219,3.774,2.448,3.206,1.628
20200220,3.964,2.766,3.602,1.916
20200221,3.37,2.23,2.83,1.494
20200222,2.22,1.28,1.55,0.88
20200223,2.934,1.742,2.32,1.298
20200224,3.89,2.698,3.746,1.756
20200225,1.844,1.186,1.616,0.878
20200226,3.982,2.758,3.67,1.872
20200227,4.452,2.796,4.042,2.036
20200228,1.418,1.038,1.346,0.662
20200229,4.004,2.424,3.872,1.858
20200301,2.734,1.692,2.444,1.424
20200302,3.838,2.644,4.144,1.802
20200303,4.254,2.712,4.168,2.026
20200304,3.328,2.302,3.072,1.586
20200305,3.72,2.436,3.628,1.804
20200306,4.38,2.914,4.478,2.0
20200307,5.144,2.64,4.646,2.178
20200308,7.346,3.2,6.236,2.536
20200309,6.842,3.544,5.984,2.556
20200310,1.268,0.746,0.942,0.636
20200311,5.178,3.154,4.606,2.406
20200312,6.02,3.204,5.246,2.418
20200313,5.116,3.126,4.624,2.276
20200314,5.064,2.764,4.422,2.358
20200315,4.026,2.358,3.562,1.808
20200316,4.528,2.866,4.348,2.006
20200317,5.428,3.126,4.76,2.362
20200318,8.032,3.89,6.412,2.934
20200319,2.844,1.926,2.402,1.308
20200320,6.322,3.66,5.5,2.828
20200321,8.388,3.984,7.204,3.256
20200322,9.314,3.804,7.798,2.982
20200323,7.918,4.2,6.9,3.052
20200324,8.888,4.524,7.802,3.572
20200325,9.53,4.944,8.19,3.71
20200326,5.112,3.226,4.744,2.44
20200327,6.652,4.272,6.254,3.296
20200328,7.972,4.208,7.538,3.65
20200329,8.954,4.228,8.56,3.634
20200330,8.092,4.62,7.712,3.678
20200331,8.884,5.112,8.16,4.226
20200401,7.884,4.858,7.286,3.782
20200402,8.456,4.742,7.528,3.82
20200403,8.646,5.056,8.25,4.026
20200404,8.18,4.69,7.456,3.976
20200405,7.72,4.126,7.508,3.764
20200406,7.918,4.534,7.668,3.556
20200407,8.646,5.03,7.918,4.182
20200408,7.936,5.264,7.606,4.034
20200409,8.236,5.152,7.44,4.216
20200410,8.414,4.99,7.714,4.036
20200411,9.248,4.994,7.778,4.456
20200412,8.0,3.926,6.952,3.476
20200413,8.684,5.504,8.442,4.17
20200414,9.12,5.958,8.302,4.482
20200415,10.564,5.666,9.384,5.366
20200416,10.162,5.53,8.294,4.54
20200417,3.798,2.7,2.916,2.04
20200418,11.258,6.128,9.296,5.75
20200419,3.37,1.924,2.938,1.848
20200420,5.634,3.894,5.458,3.224
20200421,5.59,4.234,5.726,3.308
20200422,5.188,3.732,4.748,2.904
20200423,6.774,4.59,6.002,3.486
20200424,7.62,5.06,6.86,3.902
20200425,9.586,5.208,7.822,4.374
20200426,9.688,5.26,8.864,4.294
20200427,7.762,5.264,7.67,4.044
20200428,9.01,5.97,8.72,4.634
20200429,9.246,6.128,8.824,4.788
20200430,11.848,5.988,10.096,5.778
20200501,11.53,6.216,9.376,5.392
20200502,10.51,5.424,8.616,5.068
20200503,11.066,5.416,9.142,4.858
20200504,11.466,5.876,9.51,5.284
20200505,11.26,5.546,9.314,5.286
20200506,9.89,6.274,8.46,5.05
20200507,9.848,6.014,8.248,5.572
20200508,6.114,4.554,6.004,3.728
20200509,1.04,0.66,0.71,0.588
20200510,8.058,4.198,6.622,4.156
20200511,8.22,5.27,7.166,4.548
20200512,8.118,5.47,7.324,4.846
20200513,9.202,5.88,8.248,5.452
20200514,8.858,6.478,8.164,5.752
20200515,1.588,1.044,1.086,0.846
20200516,7.188,4.538,6.054,4.25
20200517,10.754,5.972,9.568,5.614
20200518,3.838,2.816,3.612,2.18
20200519,5.558,4.012,4.936,3.07
20200520,8.398,6.51,8.296,5.274
20200521,8.906,6.682,8.884,5.8
20200522,8.832,6.448,8.428,5.362
20200523,12.18,6.764,9.37,5.952
20200524,9.69,5.562,8.116,4.6
20200525,10.29,6.402,9.002,5.298
20200526,7.082,5.06,6.12,3.888
20200527,10.642,7.032,9.32,5.456
20200528,10.59,6.998,8.974,5.53
20200529,10.916,7.312,9.294,6.02
20200530,11.88,6.894,10.316,6.078
20200531,11.23,6.274,9.04,5.366
20200601,10.832,6.674,9.158,5.632
20200602,7.798,5.862,7.05,4.778
20200603,10.556,7.328,8.958,5.978
20200604,10.164,7.192,8.58,6.084
20200605,11.056,7.682,9.36,6.168
20200606,11.886,7.078,9.388,6.262
20200607,11.026,7.156,9.482,5.808
20200608,10.232,7.644,8.876,5.706
20200609,10.31,7.41,8.864,5.854
20200610,5.766,4.368,5.002,3.266
20200611,9.83,7.154,8.872,5.414
20200612,11.202,8.07,9.57,6.12
20200613,9.54,6.434,7.484,5.136
20200614,9.65,6.286,8.002,5.156
20200615,9.974,7.78,9.07,5.83
20200616,9.928,7.654,8.722,5.794
20200617,10.588,7.506,8.76,5.848
20200618,11.174,7.672,8.976,6.278
20200619,11.092,7.93,9.084,6.034
20200620,10.758,6.942,8.342,6.14
20200621,10.154,6.632,8.312,5.492
20200622,9.648,7.204,7.88,5.382
20200623,10.312,7.604,8.522,5.958
20200624,2.07,1.364,1.492,1.084
20200625,5.06,2.976,4.084,1.786
20200626,9.178,6.414,7.704,5.052
20200627,10.948,7.24,9.334,6.284
20200628,11.762,6.704,8.558,5.632
20200629,7.042,5.296,5.936,4.066
20200630,3.952,2.812,3.05,2.004
20200701,10.132,7.746,8.648,6.072
20200702,10.74,7.74,8.688,6.252
20200703,10.232,7.18,8.6,6.108
20200704,10.608,6.468,8.74,5.628
20200705,11.508,7.026,9.326,6.034
20200706,10.302,7.786,9.068,6.372
20200707,8.708,7.19,7.532,5.356
20200708,10.484,7.906,8.558,6.322
20200709,9.5,8.022,8.328,6.148
20200710,9.364,6.654,7.49,5.472
20200711,11.314,7.334,8.666,6.614
20200712,5.756,4.17,4.69,3.666
20200713,0.526,0.39,0.416,0.276
20200714,7.702,6.208,7.474,4.868
20200715,9.75,7.616,8.836,6.432
20200716,9.516,7.336,8.544,6.302
20200717,9.988,7.232,8.64,5.58
20200718,10.198,6.954,7.986,5.786
20200719,6.658,4.566,4.626,3.854
20200720,7.488,5.63,6.012,5.174
20200721,9.018,7.398,8.376,6.346
20200722,5.166,4.4,3.874,3.568
20200723,0.974,0.76,0.748,0.696
20200724,6.256,5.076,5.332,4.168
20200725,9.786,7.134,8.114,5.922
20200726,9.552,6.432,7.948,5.25
20200727,5.268,3.908,4.66,3.006
20200728,5.74,4.408,5.142,3.736
20200729,2.714,2.544,2.304,1.866
20200730,8.03,6.736,7.376,5.396
20200731,8.478,7.02,7.68,5.402
20200801,3.398,2.652,2.738,2.006
20200802,1.234,0.912,0.992,0.752
20200803,1.754,1.314,1.314,0.962
20200804,4.172,3.838,3.544,2.634
20200805,2.71,2.196,1.8,1.686
20200806,4.218,3.924,2.924,2.866
20200807,5.822,6.078,4.828,4.522
20200808,3.216,3.398,2.528,2.596
20200809,1.614,1.034,0.836,0.768
20200810,2.26,1.59,1.548,1.126
20200811,4.214,3.95,3.162,3.062
20200812,5.488,6.108,5.17,4.806
20200813,5.732,5.998,5.276,4.922
20200814,5.806,5.378,4.962,4.504
20200815,2.744,2.058,1.868,1.72
20200816,5.896,4.596,5.024,3.916
20200817,6.52,5.44,6.132,4.37
20200818,6.514,6.196,6.404,4.866
20200819,7.408,6.54,6.554,5.016
20200820,7.354,6.386,6.98,5.13
20200821,6.598,5.828,6.416,4.438
20200822,3.556,2.628,2.654,2.254
20200823,7.844,5.482,7.068,4.45
20200824,8.426,6.734,7.754,5.256
20200825,7.95,6.694,6.952,5.13
20200826,3.776,3.04,3.276,2.222
20200827,2.77,2.374,2.602,1.932
20200828,5.614,4.892,4.928,3.902
20200829,2.886,2.668,2.582,2.194
20200830,4.618,3.254,4.39,2.276
20200831,7.954,6.51,7.398,4.8
20200901,7.52,6.526,8.036,5.138
20200902,1.32,1.07,1.294,0.684
20200903,7.486,5.364,6.276,3.984
20200904,11.718,7.498,10.768,6.056
20200905,11.626,7.086,10.566,5.96
20200906,5.066,3.646,5.22,2.812
20200907,0.352,0.268,0.306,0.162
20200908,9.45,7.024,9.858,5.642
20200909,6.696,5.316,6.67,3.976
20200910,9.912,7.396,9.622,6.034
20200911,5.716,4.896,5.692,3.538
20200912,3.194,3.146,3.592,2.284
20200913,11.15,7.338,12.5,5.908
20200914,9.512,7.496,9.474,5.694
20200915,10.2,8.17,9.432,6.386
20200916,8.346,6.442,6.77,4.914
20200917,10.168,8.116,9.13,6.802
20200918,11.222,8.948,10.286,7.172
20200919,11.734,8.092,11.038,7.37
20200920,11.774,7.248,11.18,6.954
20200921,10.856,8.168,9.71,6.77
20200922,11.164,8.038,9.64,7.054
20200923,10.342,7.826,9.274,6.832
20200924,9.902,8.356,9.232,6.844
20200925,10.43,8.152,9.52,7.156
20200926,11.186,8.118,10.144,6.544
20200927,10.952,7.354,10.526,6.08
20200928,10.354,7.622,9.12,6.07
20200929,10.572,7.876,9.116,6.802
20200930,5.804,4.854,5.408,5.048
20201001,7.512,5.274,7.658,4.614
20201002,7.094,4.816,6.902,4.28
20201003,9.372,5.756,9.908,5.38
20201004,8.1,5.796,8.144,4.82
20201005,8.53,6.12,7.862,5.054
20201006,8.764,7.168,8.308,5.978
20201007,8.748,7.424,8.24,5.952
20201008,9.662,7.674,8.75,6.14
20201009,10.304,6.892,9.126,6.046
20201010,10.206,6.862,9.458,5.76
20201011,8.916,6.184,8.756,5.308
20201012,8.35,7.09,7.748,5.728
20201013,8.53,7.3,7.734,5.69
20201014,8.122,6.898,7.38,5.566
20201015,7.668,6.984,7.598,5.47
20201016,7.566,6.876,7.278,5.34
20201017,8.85,6.782,7.832,5.652
20201018,8.584,6.212,7.588,5.15
20201019,8.19,6.88,7.67,5.584
20201020,8.634,7.394,8.202,5.86
20201021,8.078,7.25,7.51,5.9
20201022,7.732,6.854,7.274,5.55
20201023,6.972,6.038,6.778,5.16
20201024,7.212,5.692,6.284,4.858
20201025,7.296,5.494,6.98,4.974
20201026,7.728,6.832,7.698,5.614
20201027,8.444,7.14,7.698,5.488
20201028,8.122,7.192,7.506,5.572
20201029,8.086,6.994,7.53,5.38
20201030,8.504,6.662,8.402,5.678
20201031,8.696,6.306,7.696,5.462
20201101,3.39,2.508,2.494,2.192
20201102,7.66,6.742,7.17,5.264
20201103,6.096,5.19,5.594,4.08
20201104,6.844,5.586,6.11,4.434
20201105,7.992,6.262,7.076,4.896
20201106,8.818,6.834,7.42,5.452
20201107,8.142,5.924,6.972,5.036
20201108,6.034,4.77,5.312,3.772
20201109,6.662,6.012,6.02,4.422
20201110,7.374,6.368,6.558,4.834
20201111,8.098,6.684,7.024,5.0
20201112,8.06,6.712,6.982,5.162
20201113,8.496,6.824,7.602,5.37
20201114,8.078,5.938,6.794,4.86
20201115,6.926,5.368,5.872,4.29
20201116,8.228,6.73,7.342,5.232
20201117,7.732,6.308,6.468,4.696
20201118,4.078,3.208,3.384,2.416
20201119,3.324,2.764,2.816,2.024
20201120,5.836,4.714,4.83,3.56
20201121,5.568,4.67,4.726,3.86
20201122,3.502,2.828,2.558,2.076
20201123,5.516,4.456,4.598,3.348
20201124,5.67,4.782,4.966,3.446
20201125,6.224,4.8,5.344,3.566
20201126,5.998,5.038,5.414,3.692
20201127,5.314,4.748,4.752,3.444
20201128,3.768,3.05,2.874,2.326
20201129,3.186,2.638,2.528,2.122
20201130,4.862,3.852,3.98,2.704
20201201,5.088,4.186,4.396,2.952
20201202,5.1,4.386,4.632,3.064
20201203,4.582,3.992,4.114,2.846
20201204,4.884,3.984,4.278,2.676
20201205,4.274,3.408,3.308,2.406
20201206,3.926,3.006,3.242,2.496
20201207,4.564,3.682,4.15,2.716
20201208,4.744,3.712,3.998,2.598
20201209,4.86,3.916,4.194,2.708
20201210,5.186,4.18,4.548,2.916
20201211,5.268,4.244,4.646,2.978
20201212,4.148,3.244,3.606,2.612
20201213,1.334,1.124,1.048,0.916
20201214,2.696,2.08,2.262,1.5
20201215,2.678,2.146,2.348,1.568
20201216,2.808,2.136,2.24,1.532
20201217,3.176,2.462,2.738,1.782
20201218,3.11,2.522,2.682,1.708
20201219,2.65,1.884,1.912,1.522
20201220,2.344,1.834,1.824,1.454
20201221,3.602,2.946,3.222,1.892
20201222,4.182,3.306,3.708,2.302
20201223,4.12,3.382,3.722,2.306
20201224,3.878,3.164,3.704,2.24
20201225,2.664,2.164,2.49,1.68
20201226,3.322,2.77,3.228,2.198
20201227,3.528,2.604,3.258,2.038
20201228,4.542,3.588,4.506,2.48
20201229,3.694,3.054,3.222,2.118
20201230,2.366,1.812,2.012,1.174
20201231,2.366,2.018,1.988,1.358
20210101,2.07,1.65,1.676,1.222
20210102,2.062,1.906,1.822,1.44
20210103,1.918,1.854,1.81,1.278
20210104,3.238,2.716,2.934,1.71
20210105,2.864,2.372,2.526,1.53
20210106,2.26,1.832,2.018,1.156
20210107,0.522,0.5,0.54,0.286
20210108,0.76,0.822,0.704,0.48
20210109,0.904,0.944,0.778,0.568
20210110,1.004,1.0,0.924,0.662
20210111,1.816,1.756,1.844,1.184
20210112,1.202,1.134,1.156,0.64
20210113,1.852,1.666,1.92,0.996
20210114,3.056,2.66,3.17,1.864
20210115,3.136,2.618,2.83,1.736
20210116,2.114,1.988,1.82,1.402
20210117,1.644,1.702,1.408,1.142
20210118,1.71,1.672,1.742,0.956
20210119,2.508,2.366,2.478,1.484
20210120,3.408,3.062,3.276,2.004
20210121,1.8,1.378,1.376,0.938
20210122,3.36,2.908,2.98,1.98
20210123,3.894,3.226,3.716,2.322
20210124,4.842,3.694,4.734,2.718
20210125,5.244,4.354,5.064,2.972
20210126,2.346,2.182,2.266,1.584
20210127,4.22,3.588,4.19,2.608
20210128,2.214,1.944,2.002,1.336
20210129,2.332,2.174,1.982,1.426
20210130,2.548,2.146,2.244,1.61
20210131,3.848,3.012,3.69,2.308
20210201,3.898,3.476,3.648,2.306
20210202,3.124,2.796,2.606,1.708
20210203,3.026,2.71,2.672,1.688
20210204,2.06,1.82,1.976,1.082
20210205,3.858,3.26,3.298,2.224
20210206,4.306,3.24,3.734,2.51
20210207,3.552,2.714,3.298,2.25
20210208,3.216,2.852,2.992,1.994
20210209,3.922,3.438,3.558,2.214
20210210,4.45,3.6,3.896,2.574
20210211,3.478,2.842,3.354,2.194
20210212,3.886,2.738,3.816,2.444
20210213,5.274,3.706,5.596,3.07
20210214,4.726,3.364,4.158,2.72
20210215,3.23,2.772,2.738,1.87
20210216,2.298,1.984,1.868,1.31
20210217,2.278,2.022,1.912,1.254
20210218,3.06,2.51,2.608,1.636
20210219,4.384,3.514,3.852,2.512
20210220,6.432,4.582,6.022,3.452
20210221,7.858,5.126,7.754,3.878
20210222,5.648,4.498,5.07,2.95
20210223,4.544,3.712,4.12,2.566
20210224,5.55,4.416,5.074,2.812
20210225,5.386,4.548,4.698,2.85
20210226,7.172,5.126,6.546,3.538
20210227,8.086,5.648,7.952,4.438
20210228,6.798,4.644,6.344,3.56
20210301,0.354,0.322,0.23,0.212
20210302,4.966,4.208,4.636,2.528
20210303,6.32,5.154,5.646,3.298
20210304,6.526,5.366,5.822,3.646
20210305,8.048,6.098,7.156,4.104
20210306,5.756,4.59,5.518,3.436
20210307,7.848,5.252,6.904,4.068
20210308,7.066,5.786,6.302,3.894
20210309,7.062,5.812,6.406,3.954
20210310,8.012,6.298,7.14,4.324
20210311,7.536,5.89,6.512,4.226
20210312,6.596,5.428,5.604,3.586
20210313,8.644,5.976,7.872,4.404
20210314,8.1,5.518,6.902,4.038
20210315,7.152,5.94,6.236,4.154
20210316,7.114,5.818,6.094,4.096
20210317,8.28,6.284,7.2,4.694
20210318,8.748,6.992,7.258,4.742
20210319,10.35,7.658,8.548,5.298
20210320,2.59,2.346,2.294,1.814
20210321,5.286,4.364,4.638,3.384
20210322,7.16,5.948,6.238,4.046
20210323,8.278,6.65,7.44,4.758
20210324,8.796,7.064,7.992,4.766
20210325,9.342,7.394,7.972,5.342
20210326,10.26,7.596,8.53,5.37
20210327,2.24,1.646,1.674,1.404
20210328,3.236,2.424,2.572,1.772
20210329,6.9,6.116,6.082,3.914
20210330,9.62,7.796,8.44,5.598
20210331,11.206,8.488,10.144,6.048
20210401,11.448,8.896,10.542,6.374
20210402,11.074,8.382,9.974,6.408
20210403,1.636,1.236,1.028,1.07
20210404,9.3,6.442,8.732,4.958
20210405,10.232,8.166,9.724,6.018
20210406,11.306,8.91,9.442,5.978
20210407,11.188,8.566,9.388,6.302
20210408,10.25,8.032,8.818,5.672
20210409,11.186,8.496,10.05,6.112
20210410,11.804,7.666,10.506,6.006
20210411,11.556,7.658,11.572,6.276
20210412,2.91,2.386,1.994,1.668
20210413,7.286,6.298,7.028,4.772
20210414,8.662,7.65,8.136,5.26
20210415,10.31,8.292,9.056,5.882
20210416,7.646,6.608,6.298,4.56
20210417,6.664,5.144,5.846,3.5
20210418,9.858,7.162,9.314,5.608
20210419,9.96,8.368,9.214,5.728
20210420,10.666,8.498,8.804,6.214
20210421,10.96,9.12,9.478,6.362
20210422,10.772,8.894,9.21,6.37
20210423,10.77,8.862,9.208,6.192
20210424,11.896,8.46,10.854,6.774
20210425,12.752,8.612,11.826,6.554
20210426,11.402,9.326,9.938,6.51
20210427,9.516,7.974,8.488,5.612
20210428,10.894,8.604,9.134,6.144
20210429,9.372,8.144,8.494,5.56
20210430,7.722,6.348,6.364,4.22
20210501,3.714,3.014,3.016,2.646
20210502,10.966,7.848,11.012,6.376
20210503,11.156,9.37,10.17,6.692
20210504,2.734,2.172,1.894,1.484
20210505,12.446,8.32,12.348,6.262
20210506,11.304,8.946,10.466,6.42
20210507,8.602,6.78,6.69,4.752
20210508,7.154,5.456,5.334,4.646
20210509,11.83,7.846,10.164,6.286
20210510,8.954,7.794,7.29,5.528
20210511,11.838,10.048,10.316,7.154
20210512,12.036,10.058,10.31,7.334
20210513,12.022,10.236,9.986,7.236
20210514,12.36,9.876,9.936,7.266
20210515,3.532,2.904,2.602,2.36
20210516,0.3,0.218,0.18,0.17
20210517,5.608,4.974,4.978,3.494
20210518,11.084,9.858,9.902,7.142
20210519,13.204,9.448,12.27,7.38
20210520,6.416,5.488,5.366,3.78
20210521,7.084,6.058,5.92,4.358
20210522,12.506,9.218,10.858,7.338
20210523,11.708,8.37,9.864,6.908
20210524,11.344,9.524,9.836,6.782
20210525,8.998,7.382,6.882,5.212
20210526,11.092,9.358,9.62,6.392
20210527,7.15,5.878,5.006,4.508
20210528,6.978,6.328,5.128,4.866
20210529,6.104,4.902,4.558,3.418
20210530,8.42,6.366,8.33,5.222
20210531,10.022,8.674,9.012,6.344
20210601,10.17,8.192,8.136,6.006
20210602,11.884,10.086,9.914,7.174
20210603,3.776,3.542,2.842,2.174
20210604,10.74,9.88,10.548,6.778
20210605,12.092,8.624,10.676,7.19
20210606,11.194,8.376,9.838,6.596
20210607,10.608,9.402,9.072,6.344
20210608,11.202,10.22,9.724,6.996
20210609,10.766,9.82,9.54,6.878
20210610,7.048,6.588,6.168,4.208
20210611,10.528,9.162,9.224,6.212
20210612,11.464,8.188,8.958,6.686
20210613,10.294,7.234,8.046,6.01
20210614,11.21,9.712,9.086,6.864
20210615,9.212,7.832,6.964,5.356
20210616,12.496,10.862,10.438,7.472
20210617,10.104,9.114,8.57,6.448
20210618,7.352,6.65,5.484,4.922
20210619,12.086,8.602,9.404,6.9
20210620,10.61,8.296,9.088,6.606
20210621,12.168,10.7,10.588,7.342
20210622,10.902,9.77,9.138,5.956
20210623,10.582,9.848,9.306,7.314
20210624,10.94,9.408,10.142,6.054
20210625,11.898,10.44,10.478,7.688
20210626,9.758,7.588,8.24,5.744
20210627,9.002,6.936,7.27,5.534
20210628,10.232,9.082,8.712,5.386
20210629,9.278,8.034,7.896,5.316
20210630,10.348,9.28,8.68,6.032
20210701,11.636,10.31,9.878,7.548
20210702,12.0,9.88,10.24,7.346
20210703,4.828,3.946,3.466,2.946
20210704,3.216,2.556,2.656,1.906
20210705,11.176,10.232,9.598,7.206
20210706,11.546,10.606,10.016,7.572
20210707,10.112,9.21,8.664,6.56
20210708,9.918,9.158,8.574,6.062
20210709,11.418,10.536,9.606,6.972
20210710,9.74,8.424,7.918,6.406
20210711,7.696,6.198,6.498,3.962
20210712,10.646,9.89,8.818,6.936
20210713,10.982,9.756,9.114,6.914
20210714,10.56,9.744,8.882,6.888
20210715,7.994,7.556,6.86,4.718
20210716,10.114,9.07,8.146,6.276
20210717,10.156,7.276,8.11,5.978
20210718,8.892,7.392,7.598,5.528
20210719,9.49,8.518,7.394,5.996
20210720,11.478,9.962,9.484,6.76
20210721,10.858,9.106,8.692,6.192
20210722,10.222,9.044,8.572,6.094
20210723,10.452,9.042,8.572,6.14
20210724,9.004,7.12,7.182,5.478
20210725,8.252,6.21,6.104,4.578
20210726,10.716,8.96,8.53,5.934
20210727,10.184,8.922,8.398,6.18
20210728,10.336,8.77,8.128,6.222
20210729,9.134,8.672,8.228,5.944
20210730,10.638,8.79,9.006,6.306
20210731,8.998,6.774,6.836,5.36
20210801,4.392,3.536,3.226,2.726
20210802,9.232,7.51,6.814,5.278
20210803,10.974,9.148,8.714,6.402
20210804,10.87,9.338,8.538,6.522
20210805,10.896,9.054,8.798,6.504
20210806,10.644,9.08,8.77,6.552
20210807,10.832,8.254,8.158,6.442
20210808,8.838,6.246,6.138,5.386
20210809,11.876,10.128,9.516,6.976
20210810,12.25,10.214,9.888,7.04
20210811,12.144,10.108,9.8,6.978
20210812,8.416,7.534,6.854,5.024
20210813,11.824,10.404,10.498,7.258
20210814,12.18,8.988,10.478,7.148
20210815,11.374,8.684,10.808,6.39
20210816,12.006,9.068,10.612,7.054
20210817,7.588,6.456,5.884,4.852
20210818,11.016,9.176,9.394,6.502
20210819,13.218,10.918,11.096,7.42
20210820,12.442,10.458,10.568,7.304
20210821,3.664,2.778,3.032,2.068
20210822,11.918,7.818,10.098,6.444
20210823,4.47,4.032,3.37,2.57
20210824,3.98,2.99,3.06,1.764
20210825,9.852,9.276,8.876,6.106
20210826,10.622,9.242,9.048,6.356
20210827,7.45,6.692,6.282,4.768
20210828,12.818,9.304,10.81,7.156
20210829,12.204,8.588,10.344,6.828
20210830,13.242,11.016,10.778,7.402
20210831,2.69,2.262,1.93,1.49
20210901,10.466,8.796,8.758,6.394
20210902,13.036,11.172,11.166,7.528
20210903,14.56,11.348,11.992,7.864
20210904,15.184,10.02,13.366,7.814
20210905,14.042,9.676,12.248,7.516
20210906,7.042,6.21,5.524,4.21
20210907,1.178,1.2,1.168,0.72
20210908,11.99,10.618,10.842,6.866
20210909,13.222,11.708,11.394,7.83
20210910,13.328,10.932,10.928,7.466
20210911,13.766,9.524,11.072,7.538
20210912,13.08,9.192,10.448,6.65
20210913,12.614,11.012,10.046,7.298
20210914,12.646,10.83,10.742,7.472
20210915,12.718,11.14,10.844,7.852
20210916,13.51,11.15,11.038,7.746
20210917,13.83,11.102,11.398,8.028
20210918,12.54,9.008,10.364,6.962
20210919,10.596,7.336,8.89,6.402
20210920,9.514,6.532,8.55,6.322
20210921,7.432,5.268,6.538,4.628
20210922,10.58,7.758,10.414,6.324
20210923,13.218,10.958,11.342,7.596
20210924,13.664,11.068,11.148,7.942
20210925,13.542,9.788,11.39,7.826
20210926,13.616,9.248,11.944,7.276
20210927,11.354,9.72,9.308,6.6
20210928,7.302,7.084,5.798,4.574
20210929,5.252,4.564,4.494,3.202
20210930,13.082,11.298,10.772,7.464
20211001,12.176,10.488,10.164,7.252
20211002,13.204,9.494,11.63,7.362
20211003,13.926,8.944,11.87,7.136
20211004,7.594,5.814,5.756,4.29
20211005,10.248,8.41,8.228,6.432
20211006,7.41,5.912,5.316,4.002
20211007,10.308,8.638,8.07,6.33
20211008,6.074,5.58,5.146,3.676
20211009,11.336,7.942,10.142,6.788
20211010,3.48,2.682,2.844,2.09
20211011,11.192,8.218,10.058,6.38
20211012,11.64,9.666,9.9,7.044
20211013,12.562,10.522,10.528,7.538
20211014,12.85,10.668,10.588,7.926
20211015,11.29,9.474,9.022,6.872
20211016,7.82,6.428,5.672,5.092
20211017,6.438,5.36,5.07,4.038
20211018,7.526,6.642,6.574,4.628
20211019,8.604,7.852,7.564,5.576
20211020,9.734,8.754,8.328,6.212
20211021,10.014,8.864,8.352,6.21
20211022,11.18,9.138,8.796,6.53
20211023,10.384,7.322,8.388,5.912
20211024,9.84,6.806,7.938,5.266
20211025,10.66,8.548,8.792,6.22
20211026,11.468,9.44,9.322,6.864
